generation,best_r2,mean_r2,valid_count,best_fitness
0,0.2402630943921905,0.18957204027458444,81,4573.031685623233
1,0.2402630943921905,0.16646785951162194,47,4573.031685623233
2,0.2402630943921905,0.20364913514429855,49,4573.031685623233
3,0.3000332331100717,0.20747444497454823,53,4213.261433324781
4,0.30090026004485193,0.19089179016856134,57,4208.042598204659
5,0.31218970287125214,0.181082629016852,48,4140.088837663229
6,0.31218970287125214,0.21362597091630212,57,4140.088837663229
7,0.31218970287125214,0.21713788332186837,59,4140.088837663229
8,0.31218970287125214,0.2252513051815853,54,4140.088837663229
9,0.31219098365917475,0.2170861122552315,56,4140.08112830528
10,0.3123457141463064,0.2128599067261261,50,4139.149769811093
11,0.3123457141463064,0.22517326705431026,56,4139.149769811093
12,0.3123457141463064,0.21486086227388934,51,4139.149769811093
13,0.3123457141463064,0.2189541895507803,54,4139.149769811093
14,0.3123457141463064,0.23011744755577443,53,4139.149769811093
15,0.3123457141463064,0.21897012823574055,55,4139.149769811093
