generation,best_r2,mean_r2,valid_count,best_fitness
0,0.2402630943921905,0.18957204027458444,81,4573.031685623233
1,0.2402630943921905,0.1697795650675694,47,4573.031685623233
2,0.2402630943921905,0.19652314020244988,55,4573.031685623233
3,0.2402630943921905,0.20118150899741477,54,4573.031685623233
4,0.2483926535711235,0.2081125724414441,66,4524.09799365566
5,0.24936812768343508,0.20036273161144919,47,4518.226389958144
6,0.26569667409686326,0.20712985451041213,56,4419.941102541393
7,0.26569667409686326,0.22944425443073987,39,4419.941102541393
8,0.26569667409686326,0.21782336056831264,60,4419.941102541393
9,0.2732562848015755,0.22719181263681634,49,4374.438061911863
10,0.2732562848015755,0.2291397474705874,48,4374.438061911863
11,0.2767383829006633,0.22317054614494627,44,4353.478510227536
12,0.2772354240318674,0.21758792540548183,56,4350.486705004864
13,0.29273151700877587,0.2207336406037237,46,4257.212146847033
14,0.29273151700877587,0.233874042546856,47,4257.212146847033
15,0.2985764280882607,0.23696304508681246,61,4222.030278796606
