generation,best_r2,mean_r2,valid_count,best_fitness
0,0.7546589666339962,0.24927865716790146,42,0.20698265221543907
1,0.7876181615607182,0.598664838233504,50,0.17917653479911017
2,0.7980827047787222,0.7108184194589809,59,0.17034809350753735
3,0.7980827047787222,0.746333214247264,54,0.17034809350753735
4,0.7992175507314578,0.7841803481636493,55,0.16939067753055825
5,0.7993554867359395,0.7775134853976879,52,0.16927430743277277
6,0.7994328691065632,0.7633450515572786,49,0.16920902357834913
7,0.8029880498728391,0.7851771709999061,49,0.16620968533470787
8,0.8031917858236213,0.7889747271766515,47,0.1660378029273259
9,0.8031917858236213,0.7820555743424592,44,0.1660378029273259
10,0.8045727649445934,0.7934733431271641,50,0.16487273601132196
11,0.8045727649445934,0.7771379794309984,54,0.16487273601132196
12,0.8066508527476336,0.7829230992423375,52,0.16311955139679343
13,0.8074580451660576,0.7878579122168546,49,0.16243856124475334
14,0.8218631579921318,0.7885978001520997,56,0.15028564733020455
15,0.8218631579921318,0.7883324042867018,54,0.15028564733020455
