generation,best_r2,mean_r2,valid_count,best_fitness
0,0.5653241793349226,0.34265237742358967,85,0.25482438678521185
1,0.6031733359165259,0.43987910588739254,45,0.2326356942982746
2,0.6031733359165259,0.50528879885554,44,0.2326356942982746
3,0.6069197369383341,0.543384754206116,49,0.23043940387298
4,0.6069197369383341,0.54908546913372,46,0.23043940387298
5,0.6076711898630838,0.5684524113018234,39,0.22999887205215244
6,0.6076711898630838,0.5862332925313426,41,0.22999887205215244
7,0.6076711898630838,0.5809558937422463,44,0.22999887205215244
8,0.6076711898630838,0.5912432498029859,48,0.22999887205215244
9,0.6140876401496882,0.5591795561809687,60,0.2262372917389894
10,0.6140876401496882,0.5869682133589015,50,0.2262372917389894
11,0.6140876401496882,0.5850318721208093,48,0.2262372917389894
12,0.6140876401496882,0.5872950887923616,45,0.2262372917389894
13,0.6197338586678891,0.5987749632936656,58,0.22292725215741244
14,0.6197338586678891,0.5942594042746174,59,0.22292725215741244
15,0.6197552043125301,0.6027647674077621,44,0.22291473848504428
