generation,best_r2,mean_r2,valid_count,best_fitness
0,0.5653241793349226,0.34265237742358967,85,0.25482438678521185
1,0.6031733359165259,0.4544587263781629,45,0.2326356942982746
2,0.606054879730525,0.5146589202798547,51,0.23094641782949485
3,0.6259028264943964,0.5606692963449955,56,0.21931075598083144
4,0.6311673925647943,0.5733916338236655,50,0.2162244563598249
5,0.6311673925647943,0.5929219568066657,45,0.2162244563598249
6,0.6311673925647943,0.5893029907618266,46,0.2162244563598249
7,0.6311673925647943,0.6043598272207071,52,0.2162244563598249
8,0.6314505751464843,0.5711179560595986,57,0.21605844338119404
9,0.6320764873914553,0.5974449070973874,47,0.2156915085382068
10,0.6323742749792507,0.5815057317229072,48,0.2155169335196652
11,0.6338646244449828,0.6101597595901888,45,0.21464323093340265
12,0.6343045129626681,0.6104666011857186,36,0.21438535065471245
13,0.6389173709040004,0.5896671000025933,48,0.21168110845778335
14,0.6389173709040004,0.6005945887054195,45,0.21168110845778335
15,0.6435089923296593,0.6216194243383314,53,0.208989315957448
