generation,best_r2,mean_r2,valid_count,best_fitness
0,0.5653241793349226,0.34265237742358967,85,0.25482438678521185
1,0.6015898612033896,0.4534653069002247,45,0.23356399063679062
2,0.6193999466714515,0.5153061562084269,59,0.22312300475207542
3,0.6254517003178686,0.5522794683468715,62,0.21957522422551226
4,0.6254517003178686,0.5685206172564123,55,0.21957522422551226
5,0.6286015780876528,0.5768983645476246,55,0.21772863963770264
6,0.6292008832467314,0.563727650144837,55,0.21737730293481045
7,0.6292008832467315,0.5809200754240468,61,0.2173773029348104
8,0.6299767801063847,0.6057345777785815,52,0.21692244109969108
9,0.6299767801063848,0.5902139637968702,59,0.21692244109969105
10,0.6328170157701559,0.6066403201336541,55,0.21525738112410148
11,0.635013808396385,0.6111705596380572,59,0.2139695332446943
12,0.6351440917143885,0.6094048428696334,54,0.21389315594225364
13,0.6371823697567143,0.6078390377542048,50,0.21269823566479557
14,0.6371823697567143,0.6155848121658395,53,0.21269823566479557
15,0.6371823697567143,0.6144747039711919,46,0.21269823566479557
